word,lesson,audio,pos,etymology,conj_past,conj_pres,conj_fut,conj_imperf,trans_cn,trans_ja,trans_en,trans_fr,example,exam_cn,exam_ja,exam_en,exam_fr
ང་།,V01-L01,./sounds/V1L1-01.wav,Pron.,,,,,,我,私,I; me,je ; moi,ང་བོད་པ་ཡིན།,我是藏族人。,私はチベット人です。,I am tibetan.,Je suis tibétain.
བལྟ།,V01-L03,sounds/look.wav,V.,,བལྟས།,ལྟ།,བལྟ།,ལྟོས།,看,見る,look,regarder,དཔེ་ཆ་བལྟ་གི་ཡོད།,我在看书。,本を読んでいます。,I am reading a book.,Je regarde le livre.
གཟའ་འཁོར།,V02-L01,sounds/sa_khor.wav,N.,གཟའ་(planet) + འཁོར་(turn),,,,,星期,週,week,semaine,,,,,
མདུན་ལམ།,V01-L02,,N.,,,,,,前途,,,avenir ; perspective d'avenir,,,,,
གྲོ་མ་འབྲས་སིལ།,V01-L03,,N.,,,,,,,,,riz au beurre et aux bulbes de potentille,,,,,
བག་ལེབ།,V01-L04,,N.,,,,,,饼,,,pain,,,,,
ཤ་བག་ལེབ།,V01-L05,,N.,,,,,,肉饼,,,beignet à l viande,,,,,
མ་བྱན།,V01-L06,,N.,,,,,,厨师,,,cuisiner,,,,,
